row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Mavert00557.mzXML Peak area,Mavert00558.mzXML Peak area,Mavert00560.mzXML Peak area,Mavert00556.mzXML Peak area,Mavert00559.mzXML Peak area,Mavert00567.mzXML Peak area,Mavert00561.mzXML Peak area,Mavert00566.mzXML Peak area,Mavert00568.mzXML Peak area,
210,375.1407099146991,5.207147,,,,14,20,[M+H]+,,3,210;215;214,374.13345,0,0,23233.303,0,24100.553,16648.879,28307.482,17193.504,16273.507,
214,397.1226825917594,5.2138834,,,,14,20,[M+Na]+,,3,210;215;214,374.13345,0,0,20968.379,0,21892.268,15915.75,25154.943,16166.966,16205.506,
215,413.0965982528042,5.2138834,,,,14,20,[M+K]+,,3,210;215;214,374.13345,0,0,3490.1953,0,3461.9026,2168.2925,3877.9243,2271.1484,2376.2993,
216,771.2560975197706,5.2138834,,,,,,,,,,,0,0,2443.8943,0,3304.239,2064.2993,3863.1265,1802.6554,1997.8938,
218,381.13229508147805,5.234155,,,,49,21,[M+Na]+,,2,217;218,358.14301,2030.423,2467.374,0,2642.6042,0,1135.9778,0,1084.0712,1300.5333,
217,359.1502203453452,5.2364054,,,,49,21,[M+H]+,,2,217;218,358.14301,16088.515,22450.498,0,22667.354,0,14452.571,0,13834.995,16589.568,
219,391.1753322844193,5.268934,,,,36,22,[M+H]+,,2,220;219,390.16797,0,0,0,0,0,3643.968,0,3737.1362,4021.324,
220,413.15710388583517,5.268934,,,,36,22,[M+Na]+,,2,219;220,390.16797,0,0,0,0,0,2800.8523,0,2871.7083,3057.6636,
221,262.180264670362,5.2759223,,,,,,,,,,,1376.2172,1695.6116,0,1665.8768,0,3741.9536,0,3672.1924,4159.3696,
222,321.09685370854385,5.281033,,,,,,,,,,,0,0,1730.1061,0,1750.0171,1601.9633,2009.7716,1311.1154,1446.3148,
223,195.10153189662591,5.375183,,,,,,,,,,,557.76324,993.41144,0,966.9005,0,0,0,0,0,
224,375.14075543646686,5.385172,,,,52,23,[M+H]+,,2,224;225,374.13351,0,0,11693.992,0,12023.8,8317.684,13726.581,9249.694,8622.16,
225,397.12276040775646,5.385172,,,,52,23,[M+Na]+,,2,224;225,374.13351,0,0,6256.46,0,6145.8975,4267.5747,7072.3965,4690.715,4257.9897,
227,547.2529294794189,5.40887,,,,41,24,[M+Na]+,,2,227;226,524.26364,1353.8959,1560.6306,326.35272,1456.474,272.6703,1047.0265,428.09845,1133.5388,1062.889,
226,525.270844045238,5.4103646,,,,41,24,[M+H]+,,2,227;226,524.26364,2154.5176,2425.052,630.4537,2126.0967,442.05298,1569.2346,762.7055,1899.997,1636.5851,
228,370.2014148407524,5.4292583,,,,,,,,,,,943.13855,1091.2242,0,1146.7963,0,1060.3018,0,847.8106,1187.8098,
229,280.190878463758,5.4300666,,,,,,,,,,,0,140.96832,0,0,0,843.81647,0,718.75195,988.10767,
230,564.2816987658382,5.4839115,,,,,,,,,,,0,0,1236.4774,0,912.11475,821.3555,1369.8964,850.4452,890.3963,
231,357.1346217404377,5.5131392,,,,,,,,,,,2887.305,3193.4507,0,3268.0708,0,3319.551,0,3008.7725,3369.4382,
232,355.04246552115023,5.5167727,,,,,,,,,,,0,0,997.4205,0,831.90186,317.74716,1444.6901,135.53096,323.87347,
233,389.15963528759215,5.5357614,,,,,,,,,,,0,0,0,0,0,3534.1204,0,3412.5457,3611.692,
234,354.20652322983324,5.5426497,,,,,,,,,,,375.08426,572.4505,0,554.9068,0,978.81323,0,994.666,1147.4324,
235,309.2325233849828,5.627189,,,,,,,,,,,0,0,14974.278,0,12657.749,16870.928,15172.545,13585.933,9622.595,
236,403.2115250372733,5.687458,,,,,,,,,,,3157.4097,4262.5947,0,4347.5894,0,2027.2039,0,1782.9398,2092.2075,
237,750.2843452619195,5.707972,,,,40,25,[M+Na]+,,2,237;238,727.2951,0,0,2875.0574,0,2780.3345,3745.735,3028.1262,4030.8284,3940.984,
238,728.3023464490421,5.709575,,,,40,25,[M+H]+,,1,237,727.2951,0,0,898.5383,0,812.65784,1536.0442,947.05475,1646.6226,1422.1337,
239,425.1934413851664,5.7478976,,,,,,,,,,,6523.5103,8443.678,0,8751.221,0,3675.172,0,3038.3352,4039.7651,
240,490.2586839158832,5.7770886,,,,,,,,,,,1596.4253,2643.0076,0,2662.4495,0,2071.2307,0,2462.6213,2434.5127,
242,436.1965235611246,5.783808,,,,23,26,[M+H]+,,2,243;242,435.18918,0,0,9979.032,0,8700.705,5696.39,11244.949,5427.6455,5160.5957,
243,458.1783386514667,5.783808,,,,23,26,[M+Na]+,,2,243;242,435.18918,0,0,11070.027,0,10023.089,7115.4346,12419.704,6454.195,6192.5337,
244,531.2576965153196,5.792491,,,,17,27,[M+Na]+,,2,245;244,508.26843,2383.403,2503.6785,648.6681,2603.687,641.6469,1237.5255,738.69934,1005.9809,1233.3058,
245,509.27566184338434,5.795489,,,,17,27,[M+H]+,,1,244,508.26843,2696.1536,2941.0767,496.75122,2898.56,487.9679,1124.9728,628.3231,1159.1919,1450.9825,
246,305.2011696814854,5.7995496,,,,,,,,,,,0,0,2646.1157,0,2343.3906,1806.595,3182.7488,2125.101,1459.8975,
